,Date,Price (Euros)
0,26.07.2022,0.03
1,28.07.2022,0.02
2,30.07.2022,0.16
3,02.08.2022,0.04
4,03.08.2022,0.05
5,04.08.2022,0.1
6,07.08.2022,0.05
7,09.08.2022,0.04
8,10.08.2022,0.02
9,13.08.2022,0.03
10,14.08.2022,0.22
11,16.08.2022,0.08
12,18.08.2022,0.25
13,21.08.2022,0.03
14,25.08.2022,0.05
15,26.08.2022,0.02
16,28.08.2022,0.04
17,29.08.2022,0.14
18,02.09.2022,0.03
19,08.09.2022,0.12
20,09.09.2022,0.04
21,10.09.2022,0.02
22,12.09.2022,0.02
23,13.09.2022,0.19
24,15.09.2022,0.03
25,16.09.2022,0.05
26,17.09.2022,0.21
27,18.09.2022,0.04
28,19.09.2022,0.02
29,21.09.2022,0.05
30,22.09.2022,0.2
31,24.09.2022,0.04
32,26.09.2022,0.02
33,29.09.2022,0.02
34,30.09.2022,0.02
35,01.10.2022,0.02
36,03.10.2022,0.3
37,04.10.2022,0.2
