,Date,Price (Euros)
0,21.02.2022,17.0
1,01.03.2022,18.34
2,04.03.2022,18.0
3,07.03.2022,15.9
4,10.03.2022,18.49
5,15.03.2022,17.0
6,18.03.2022,18.47
7,21.03.2022,18.49
8,28.03.2022,18.44
9,04.04.2022,18.5
10,26.04.2022,18.99
11,27.04.2022,16.0
12,03.05.2022,17.49
13,06.05.2022,17.0
14,10.05.2022,17.0
15,20.05.2022,18.45
16,04.06.2022,13.92
17,22.06.2022,17.0
18,29.06.2022,15.0
19,30.06.2022,22.5
20,09.07.2022,18.95
21,19.07.2022,15.95
22,29.07.2022,10.98
23,02.08.2022,10.98
24,09.08.2022,10.0
25,12.08.2022,10.98
26,16.08.2022,10.96
27,27.08.2022,8.75
28,28.08.2022,16.45
29,01.09.2022,10.9
30,23.09.2022,8.0
31,26.09.2022,6.5
32,02.10.2022,8.0
33,03.10.2022,7.0
