,Date,Price (Euros)
0,19.07.2022,0.02
1,20.07.2022,0.02
2,28.07.2022,0.02
3,01.08.2022,0.02
4,02.08.2022,0.02
5,07.08.2022,0.02
6,10.08.2022,0.02
7,13.08.2022,0.02
8,14.08.2022,0.1
9,15.08.2022,0.02
10,16.08.2022,0.24
11,19.08.2022,0.02
12,21.08.2022,0.02
13,22.08.2022,0.03
14,23.08.2022,0.04
15,28.08.2022,0.02
16,30.08.2022,0.04
17,31.08.2022,0.06
18,01.09.2022,0.02
19,04.09.2022,0.02
20,06.09.2022,0.03
21,07.09.2022,0.05
22,08.09.2022,0.05
23,11.09.2022,0.05
24,12.09.2022,0.02
25,14.09.2022,0.02
26,15.09.2022,0.03
27,16.09.2022,0.05
28,18.09.2022,0.02
29,19.09.2022,0.02
30,23.09.2022,0.14
31,26.09.2022,0.02
32,27.09.2022,0.08
33,30.09.2022,0.09
34,01.10.2022,0.05
35,02.10.2022,0.12
36,05.10.2022,0.1
