,Date,Price (Euros)
0,17.08.2022,3.8
1,18.08.2022,4.27
2,19.08.2022,3.9
3,20.08.2022,4.58
4,22.08.2022,3.92
5,23.08.2022,5.85
6,24.08.2022,4.78
7,25.08.2022,3.92
8,26.08.2022,3.7
9,27.08.2022,4.96
10,28.08.2022,5.56
11,29.08.2022,3.14
12,30.08.2022,3.0
13,31.08.2022,4.99
14,01.09.2022,4.17
15,02.09.2022,3.94
16,03.09.2022,5.95
17,04.09.2022,3.56
18,05.09.2022,3.56
19,06.09.2022,4.0
20,08.09.2022,3.25
21,09.09.2022,4.39
22,14.09.2022,10.79
23,15.09.2022,4.7
24,16.09.2022,3.16
25,17.09.2022,3.83
26,18.09.2022,5.04
27,19.09.2022,3.97
28,20.09.2022,3.72
29,21.09.2022,4.25
30,22.09.2022,4.49
31,23.09.2022,3.52
32,25.09.2022,4.99
33,26.09.2022,5.39
34,27.09.2022,4.5
35,28.09.2022,3.67
36,29.09.2022,3.5
37,30.09.2022,6.99
38,01.10.2022,4.06
39,02.10.2022,3.07
40,03.10.2022,3.95
41,04.10.2022,3.14
42,05.10.2022,3.84
