,Date,Price (Euros)
0,15.08.2022,0.02
1,16.08.2022,0.02
2,17.08.2022,0.02
3,18.08.2022,0.04
4,19.08.2022,0.02
5,20.08.2022,0.07
6,23.08.2022,0.02
7,24.08.2022,0.14
8,25.08.2022,0.05
9,26.08.2022,0.02
10,28.08.2022,0.02
11,30.08.2022,0.04
12,31.08.2022,0.02
13,01.09.2022,0.02
14,03.09.2022,0.02
15,04.09.2022,0.14
16,06.09.2022,0.06
17,08.09.2022,0.09
18,09.09.2022,0.02
19,10.09.2022,0.22
20,11.09.2022,0.02
21,12.09.2022,0.06
22,13.09.2022,0.02
23,14.09.2022,0.49
24,15.09.2022,0.03
25,16.09.2022,0.1
26,17.09.2022,0.03
27,18.09.2022,0.04
28,19.09.2022,0.05
29,21.09.2022,0.02
30,22.09.2022,0.07
31,23.09.2022,0.02
32,24.09.2022,0.1
33,26.09.2022,0.11
34,28.09.2022,0.19
35,29.09.2022,0.03
36,30.09.2022,0.04
37,01.10.2022,0.07
38,03.10.2022,0.02
39,04.10.2022,0.02
40,05.10.2022,0.18
