,Date,Price (Euros)
0,18.08.2022,0.02
1,19.08.2022,0.05
2,20.08.2022,0.08
3,21.08.2022,0.07
4,22.08.2022,0.19
5,23.08.2022,0.02
6,24.08.2022,0.22
7,26.08.2022,0.08
8,27.08.2022,0.35
9,28.08.2022,0.03
10,29.08.2022,0.02
11,30.08.2022,0.19
12,01.09.2022,0.19
13,02.09.2022,0.02
14,03.09.2022,0.2
15,04.09.2022,0.2
16,05.09.2022,0.04
17,06.09.2022,0.47
18,07.09.2022,0.08
19,09.09.2022,0.02
20,12.09.2022,0.39
21,13.09.2022,0.05
22,14.09.2022,0.07
23,15.09.2022,0.06
24,16.09.2022,0.49
25,17.09.2022,0.08
26,18.09.2022,0.14
27,19.09.2022,0.05
28,20.09.2022,0.26
29,21.09.2022,0.02
30,23.09.2022,0.03
31,24.09.2022,0.05
32,25.09.2022,0.15
33,26.09.2022,0.14
34,27.09.2022,0.05
35,28.09.2022,0.08
36,29.09.2022,0.15
37,30.09.2022,0.07
38,01.10.2022,0.1
39,02.10.2022,0.04
40,03.10.2022,0.9
41,04.10.2022,0.29
42,05.10.2022,0.23
