,Date,Price (Euros)
0,16.08.2022,0.86
1,17.08.2022,0.99
2,18.08.2022,0.69
3,19.08.2022,0.77
4,21.08.2022,0.3
5,22.08.2022,0.83
6,23.08.2022,0.66
7,24.08.2022,0.67
8,25.08.2022,0.49
9,26.08.2022,0.62
10,27.08.2022,1.2
11,28.08.2022,0.56
12,29.08.2022,0.44
13,30.08.2022,0.57
14,01.09.2022,0.38
15,02.09.2022,0.25
16,03.09.2022,0.25
17,04.09.2022,0.54
18,06.09.2022,0.7
19,07.09.2022,0.99
20,09.09.2022,0.85
21,10.09.2022,0.25
22,11.09.2022,0.3
23,13.09.2022,0.53
24,16.09.2022,1.51
25,17.09.2022,0.49
26,18.09.2022,0.49
27,20.09.2022,0.91
28,21.09.2022,2.28
29,22.09.2022,0.8
