,Date,Price (Euros)
0,21.08.2022,0.58
1,22.08.2022,0.31
2,23.08.2022,0.23
3,24.08.2022,0.25
4,25.08.2022,0.28
5,26.08.2022,0.21
6,28.08.2022,0.28
7,29.08.2022,0.06
8,30.08.2022,0.08
9,31.08.2022,0.21
10,01.09.2022,0.3
11,02.09.2022,0.1
12,03.09.2022,0.14
13,04.09.2022,0.16
14,05.09.2022,0.45
15,06.09.2022,0.18
16,07.09.2022,0.24
17,08.09.2022,0.79
18,09.09.2022,0.99
19,11.09.2022,0.25
20,12.09.2022,0.49
21,13.09.2022,0.26
22,14.09.2022,0.32
23,15.09.2022,0.39
24,16.09.2022,0.43
25,17.09.2022,0.13
26,18.09.2022,0.21
27,20.09.2022,0.25
28,21.09.2022,0.14
29,22.09.2022,0.32
