,Date,Price (Euros)
0,24.08.2022,0.16
1,25.08.2022,0.4
2,26.08.2022,0.37
3,27.08.2022,0.44
4,28.08.2022,0.68
5,29.08.2022,0.4
6,30.08.2022,0.42
7,31.08.2022,0.44
8,01.09.2022,0.55
9,02.09.2022,0.53
10,03.09.2022,0.43
11,04.09.2022,0.8
12,05.09.2022,0.6
13,06.09.2022,0.81
14,07.09.2022,0.57
15,08.09.2022,1.52
16,09.09.2022,0.77
17,11.09.2022,0.61
18,12.09.2022,0.87
19,13.09.2022,0.73
20,14.09.2022,0.82
21,15.09.2022,1.11
22,16.09.2022,1.57
23,17.09.2022,1.4
24,18.09.2022,2.02
25,19.09.2022,1.88
26,20.09.2022,1.54
27,21.09.2022,1.29
28,22.09.2022,1.5
29,23.09.2022,2.05
