,Date,Price (Euros)
0,09.08.2022,0.1
1,11.08.2022,0.02
2,12.08.2022,0.14
3,13.08.2022,0.05
4,14.08.2022,0.1
5,20.08.2022,0.15
6,21.08.2022,0.09
7,22.08.2022,0.09
8,23.08.2022,0.15
9,24.08.2022,0.11
10,25.08.2022,0.13
11,26.08.2022,0.05
12,27.08.2022,0.1
13,28.08.2022,0.07
14,29.08.2022,0.09
15,31.08.2022,0.1
16,01.09.2022,0.1
17,02.09.2022,0.1
18,03.09.2022,0.02
19,05.09.2022,0.08
20,06.09.2022,0.02
21,07.09.2022,0.19
22,11.09.2022,0.39
23,12.09.2022,0.06
24,13.09.2022,0.09
25,15.09.2022,0.16
26,16.09.2022,0.02
27,17.09.2022,0.1
28,18.09.2022,0.06
29,21.09.2022,0.23
