,Date,Price (Euros)
0,03.08.2022,0.02
1,06.08.2022,0.04
2,07.08.2022,0.05
3,12.08.2022,0.05
4,13.08.2022,0.04
5,15.08.2022,0.02
6,17.08.2022,0.02
7,18.08.2022,0.02
8,21.08.2022,0.05
9,23.08.2022,0.09
10,24.08.2022,0.19
11,25.08.2022,0.05
12,26.08.2022,0.12
13,27.08.2022,0.19
14,28.08.2022,0.02
15,30.08.2022,0.19
16,31.08.2022,0.05
17,04.09.2022,0.02
18,05.09.2022,0.03
19,06.09.2022,0.05
20,07.09.2022,0.35
21,08.09.2022,0.13
22,11.09.2022,0.35
23,13.09.2022,0.04
24,15.09.2022,0.05
25,16.09.2022,0.02
26,17.09.2022,0.09
27,18.09.2022,0.1
28,20.09.2022,0.02
29,21.09.2022,0.02
30,22.09.2022,0.02
31,23.09.2022,0.04
32,25.09.2022,0.05
33,26.09.2022,0.02
34,27.09.2022,0.02
35,28.09.2022,0.04
36,29.09.2022,0.19
37,30.09.2022,0.02
38,01.10.2022,0.1
39,03.10.2022,0.02
40,05.10.2022,0.04
