,Date,Price (Euros)
0,22.08.2022,9.25
1,23.08.2022,8.85
2,24.08.2022,8.57
3,25.08.2022,7.82
4,26.08.2022,8.31
5,27.08.2022,7.39
6,28.08.2022,7.76
7,29.08.2022,8.79
8,30.08.2022,9.5
9,31.08.2022,7.99
10,01.09.2022,9.39
11,02.09.2022,8.33
12,03.09.2022,7.13
13,04.09.2022,7.8
14,05.09.2022,8.37
15,06.09.2022,5.99
16,07.09.2022,7.28
17,08.09.2022,7.07
18,09.09.2022,5.5
19,10.09.2022,6.0
20,11.09.2022,9.1
21,12.09.2022,6.73
22,13.09.2022,6.36
23,14.09.2022,8.25
24,15.09.2022,7.88
25,16.09.2022,10.59
26,17.09.2022,9.15
27,19.09.2022,8.07
28,20.09.2022,6.83
29,21.09.2022,10.19
30,22.09.2022,7.21
31,23.09.2022,6.8
32,24.09.2022,6.84
33,25.09.2022,6.91
34,26.09.2022,9.0
35,27.09.2022,10.99
36,28.09.2022,7.34
37,29.09.2022,7.33
38,30.09.2022,7.47
39,01.10.2022,8.41
40,02.10.2022,7.14
41,03.10.2022,11.0
42,04.10.2022,8.2
43,05.10.2022,8.73
