,Date,Price (Euros)
0,15.08.2022,0.02
1,16.08.2022,0.02
2,17.08.2022,0.02
3,18.08.2022,0.08
4,19.08.2022,0.04
5,20.08.2022,0.02
6,21.08.2022,0.02
7,22.08.2022,0.02
8,23.08.2022,0.02
9,25.08.2022,0.02
10,26.08.2022,0.2
11,27.08.2022,0.06
12,28.08.2022,0.02
13,29.08.2022,0.1
14,30.08.2022,0.04
15,31.08.2022,0.02
16,02.09.2022,0.03
17,03.09.2022,0.02
18,04.09.2022,0.03
19,05.09.2022,0.12
20,08.09.2022,0.15
21,09.09.2022,0.03
22,10.09.2022,0.03
23,13.09.2022,0.04
24,14.09.2022,0.08
25,17.09.2022,0.09
26,18.09.2022,0.02
27,19.09.2022,0.02
28,20.09.2022,0.1
29,21.09.2022,0.02
30,22.09.2022,0.02
31,23.09.2022,0.02
32,26.09.2022,0.13
33,27.09.2022,0.03
34,28.09.2022,0.25
35,29.09.2022,0.07
36,30.09.2022,0.06
37,02.10.2022,0.08
38,04.10.2022,0.08
39,05.10.2022,0.09
