,Date,Price (Euros)
0,13.08.2022,0.11
1,15.08.2022,0.02
2,16.08.2022,0.02
3,17.08.2022,0.02
4,18.08.2022,0.08
5,19.08.2022,0.03
6,21.08.2022,0.02
7,22.08.2022,0.02
8,23.08.2022,0.02
9,25.08.2022,0.02
10,27.08.2022,0.03
11,29.08.2022,0.1
12,30.08.2022,0.19
13,31.08.2022,0.02
14,01.09.2022,0.02
15,02.09.2022,0.03
16,04.09.2022,0.02
17,05.09.2022,0.09
18,06.09.2022,0.25
19,08.09.2022,0.1
20,09.09.2022,0.03
21,10.09.2022,0.04
22,12.09.2022,0.05
23,13.09.2022,0.05
24,14.09.2022,0.07
25,17.09.2022,0.13
26,18.09.2022,0.02
27,19.09.2022,0.02
28,20.09.2022,0.1
29,21.09.2022,0.02
30,23.09.2022,0.16
31,25.09.2022,0.05
32,26.09.2022,0.23
33,27.09.2022,0.03
34,29.09.2022,0.04
35,30.09.2022,0.09
36,01.10.2022,0.1
37,02.10.2022,0.1
38,04.10.2022,0.16
39,05.10.2022,0.09
