,Date,Price (Euros)
0,18.08.2022,21.75
1,19.08.2022,21.24
2,20.08.2022,20.94
3,21.08.2022,28.54
4,22.08.2022,18.78
5,23.08.2022,19.55
6,24.08.2022,19.37
7,25.08.2022,18.36
8,26.08.2022,22.34
9,27.08.2022,19.27
10,28.08.2022,21.78
11,29.08.2022,20.32
12,30.08.2022,21.29
13,31.08.2022,18.72
14,01.09.2022,16.68
15,02.09.2022,15.27
16,03.09.2022,11.45
17,04.09.2022,11.11
18,05.09.2022,12.24
19,06.09.2022,11.5
20,07.09.2022,11.81
21,08.09.2022,10.63
22,09.09.2022,15.0
23,10.09.2022,17.3
24,11.09.2022,14.14
25,13.09.2022,11.15
26,16.09.2022,13.0
27,18.09.2022,7.7
28,19.09.2022,7.5
29,20.09.2022,10.0
30,22.09.2022,6.66
31,23.09.2022,9.37
32,25.09.2022,9.79
33,26.09.2022,8.0
34,27.09.2022,8.6
35,29.09.2022,14.58
36,01.10.2022,6.7
37,02.10.2022,14.0
38,04.10.2022,6.5
39,05.10.2022,8.0
