,Date,Price (Euros)
0,17.08.2022,0.08
1,18.08.2022,0.05
2,19.08.2022,0.07
3,20.08.2022,0.06
4,21.08.2022,0.06
5,22.08.2022,0.02
6,23.08.2022,0.04
7,26.08.2022,0.1
8,29.08.2022,0.02
9,30.08.2022,0.18
10,31.08.2022,0.03
11,01.09.2022,0.25
12,02.09.2022,0.04
13,03.09.2022,0.02
14,04.09.2022,0.1
15,06.09.2022,0.05
16,07.09.2022,0.07
17,08.09.2022,0.04
18,09.09.2022,0.17
19,10.09.2022,0.1
20,11.09.2022,0.03
21,12.09.2022,0.09
22,13.09.2022,0.19
23,14.09.2022,0.02
24,15.09.2022,0.09
25,16.09.2022,0.09
26,18.09.2022,0.02
27,19.09.2022,0.23
28,20.09.2022,0.02
29,21.09.2022,0.05
30,22.09.2022,0.02
31,23.09.2022,0.04
32,24.09.2022,0.04
33,25.09.2022,0.25
34,26.09.2022,0.12
35,27.09.2022,0.02
36,28.09.2022,0.02
37,29.09.2022,0.02
38,30.09.2022,0.04
39,01.10.2022,0.15
40,02.10.2022,0.12
41,03.10.2022,0.12
42,04.10.2022,0.04
43,05.10.2022,0.09
