,Date,Price (Euros)
0,18.08.2022,0.03
1,19.08.2022,0.07
2,20.08.2022,0.06
3,21.08.2022,0.07
4,23.08.2022,0.14
5,24.08.2022,0.09
6,26.08.2022,0.06
7,27.08.2022,0.14
8,28.08.2022,0.13
9,29.08.2022,0.14
10,30.08.2022,0.12
11,31.08.2022,0.04
12,01.09.2022,0.09
13,02.09.2022,0.06
14,03.09.2022,0.02
15,04.09.2022,0.02
16,05.09.2022,0.04
17,06.09.2022,0.02
18,07.09.2022,0.02
19,08.09.2022,0.09
20,09.09.2022,0.03
21,10.09.2022,0.1
22,11.09.2022,0.02
23,15.09.2022,0.08
24,16.09.2022,0.12
25,17.09.2022,0.19
26,18.09.2022,0.09
27,19.09.2022,0.06
28,20.09.2022,0.03
29,21.09.2022,0.08
30,24.09.2022,0.05
31,25.09.2022,0.06
32,26.09.2022,0.12
33,27.09.2022,0.09
34,28.09.2022,0.08
35,29.09.2022,0.04
36,30.09.2022,0.25
37,01.10.2022,0.39
38,02.10.2022,0.1
39,03.10.2022,0.24
40,04.10.2022,0.11
41,05.10.2022,0.09
