,Date,Price (Euros)
0,04.07.2022,0.02
1,05.07.2022,0.39
2,07.07.2022,0.22
3,08.07.2022,0.02
4,10.07.2022,0.02
5,11.07.2022,0.02
6,15.07.2022,0.03
7,17.07.2022,0.02
8,18.07.2022,0.02
9,20.07.2022,0.02
10,21.07.2022,0.02
11,24.07.2022,0.02
12,26.07.2022,0.02
13,28.07.2022,0.02
14,04.08.2022,0.02
15,12.08.2022,0.05
16,14.08.2022,0.02
17,16.08.2022,0.02
18,17.08.2022,0.05
19,18.08.2022,0.02
20,19.08.2022,0.05
21,22.08.2022,0.04
22,23.08.2022,0.02
23,24.08.2022,0.2
24,25.08.2022,0.02
25,28.08.2022,0.04
26,05.09.2022,0.03
27,09.09.2022,0.05
28,13.09.2022,0.03
29,21.09.2022,0.02
