,Date,Price (Euros)
0,08.06.2022,0.19
1,10.06.2022,0.16
2,13.06.2022,0.02
3,16.06.2022,0.02
4,17.06.2022,0.02
5,18.06.2022,0.05
6,24.06.2022,0.02
7,28.06.2022,0.02
8,07.07.2022,0.02
9,08.07.2022,0.02
10,10.07.2022,0.02
11,11.07.2022,0.02
12,17.07.2022,0.02
13,25.07.2022,0.02
14,28.07.2022,0.02
15,08.08.2022,0.02
16,12.08.2022,0.05
17,16.08.2022,0.02
18,17.08.2022,0.08
19,18.08.2022,0.02
20,23.08.2022,0.02
21,28.08.2022,0.04
22,30.08.2022,0.04
23,05.09.2022,0.03
24,09.09.2022,0.05
25,13.09.2022,0.03
26,16.09.2022,0.05
27,18.09.2022,0.03
28,21.09.2022,0.02
29,22.09.2022,0.17
