,Date,Price (Euros)
0,22.08.2022,13.67
1,23.08.2022,12.03
2,24.08.2022,10.16
3,25.08.2022,11.5
4,26.08.2022,12.53
5,27.08.2022,11.0
6,28.08.2022,10.57
7,29.08.2022,9.18
8,30.08.2022,11.31
9,31.08.2022,11.37
10,01.09.2022,8.09
11,02.09.2022,7.11
12,03.09.2022,7.64
13,04.09.2022,6.57
14,05.09.2022,8.85
15,06.09.2022,7.59
16,07.09.2022,5.93
17,08.09.2022,4.41
18,09.09.2022,4.57
19,10.09.2022,5.75
20,11.09.2022,4.8
21,12.09.2022,5.47
22,13.09.2022,4.75
23,14.09.2022,6.48
24,15.09.2022,4.36
25,16.09.2022,3.99
26,17.09.2022,6.3
27,18.09.2022,7.0
28,19.09.2022,1.98
29,21.09.2022,5.75
30,22.09.2022,1.5
31,26.09.2022,5.63
32,27.09.2022,3.24
33,30.09.2022,1.8
34,01.10.2022,6.0
35,02.10.2022,2.99
36,03.10.2022,0.99
37,04.10.2022,1.55
38,05.10.2022,3.99
