,Date,Price (Euros)
0,23.08.2022,0.58
1,24.08.2022,0.17
2,25.08.2022,0.71
3,26.08.2022,0.31
4,27.08.2022,0.68
5,28.08.2022,0.57
6,29.08.2022,0.2
7,30.08.2022,0.3
8,31.08.2022,0.29
9,01.09.2022,0.51
10,02.09.2022,0.64
11,03.09.2022,0.56
12,04.09.2022,0.6
13,05.09.2022,0.16
14,06.09.2022,0.38
15,07.09.2022,0.41
16,08.09.2022,0.72
17,09.09.2022,0.37
18,10.09.2022,0.29
19,11.09.2022,0.62
20,12.09.2022,0.4
21,13.09.2022,0.51
22,14.09.2022,0.67
23,15.09.2022,0.75
24,16.09.2022,0.64
25,17.09.2022,0.25
26,18.09.2022,0.24
27,19.09.2022,0.58
28,20.09.2022,0.18
29,21.09.2022,0.64
30,22.09.2022,0.57
31,23.09.2022,0.19
32,24.09.2022,1.34
33,25.09.2022,0.33
34,26.09.2022,0.4
35,27.09.2022,0.32
36,28.09.2022,0.37
37,29.09.2022,0.54
38,30.09.2022,0.43
39,01.10.2022,0.43
40,02.10.2022,0.31
41,03.10.2022,0.84
42,04.10.2022,0.47
43,05.10.2022,0.52
