,Date,Price (Euros)
0,29.07.2022,0.1
1,01.08.2022,0.03
2,02.08.2022,0.02
3,04.08.2022,0.04
4,06.08.2022,0.09
5,09.08.2022,0.02
6,10.08.2022,0.02
7,11.08.2022,0.39
8,13.08.2022,0.09
9,16.08.2022,0.02
10,18.08.2022,0.07
11,19.08.2022,0.02
12,20.08.2022,0.03
13,22.08.2022,0.5
14,23.08.2022,0.02
15,28.08.2022,0.03
16,29.08.2022,0.04
17,30.08.2022,0.06
18,31.08.2022,0.02
19,02.09.2022,0.04
20,03.09.2022,0.03
21,05.09.2022,0.03
22,11.09.2022,0.07
23,13.09.2022,0.07
24,15.09.2022,0.35
25,17.09.2022,0.25
26,18.09.2022,0.02
27,19.09.2022,0.04
28,20.09.2022,0.02
29,23.09.2022,0.29
