,Date,Price (Euros)
0,07.08.2022,0.02
1,08.08.2022,0.08
2,09.08.2022,0.02
3,10.08.2022,0.02
4,12.08.2022,0.05
5,13.08.2022,0.11
6,14.08.2022,0.02
7,16.08.2022,0.03
8,17.08.2022,0.06
9,19.08.2022,0.03
10,20.08.2022,0.02
11,22.08.2022,0.09
12,24.08.2022,0.03
13,25.08.2022,0.02
14,26.08.2022,0.07
15,27.08.2022,0.25
16,28.08.2022,0.03
17,30.08.2022,0.11
18,01.09.2022,0.02
19,02.09.2022,0.02
20,03.09.2022,0.02
21,04.09.2022,0.02
22,08.09.2022,0.2
23,09.09.2022,0.03
24,13.09.2022,0.02
25,14.09.2022,0.19
26,15.09.2022,0.35
27,16.09.2022,0.03
28,17.09.2022,0.15
29,18.09.2022,0.02
30,23.09.2022,0.02
31,25.09.2022,0.02
32,26.09.2022,0.18
33,27.09.2022,0.23
34,29.09.2022,0.23
35,05.10.2022,0.04
