,Date,Price (Euros)
0,23.08.2022,0.59
1,24.08.2022,0.34
2,25.08.2022,0.33
3,26.08.2022,0.29
4,27.08.2022,0.5
5,28.08.2022,0.31
6,29.08.2022,0.45
7,30.08.2022,0.3
8,31.08.2022,0.37
9,01.09.2022,0.38
10,03.09.2022,0.71
11,04.09.2022,0.31
12,05.09.2022,0.42
13,06.09.2022,0.25
14,07.09.2022,0.25
15,08.09.2022,0.23
16,09.09.2022,0.42
17,10.09.2022,0.37
18,11.09.2022,0.04
19,12.09.2022,0.6
20,13.09.2022,0.37
21,14.09.2022,0.38
22,15.09.2022,0.25
23,16.09.2022,0.54
24,17.09.2022,0.28
25,18.09.2022,0.44
26,19.09.2022,0.34
27,20.09.2022,0.28
28,21.09.2022,0.28
29,22.09.2022,0.44
