,Date,Price (Euros)
0,24.08.2022,6.49
1,25.08.2022,6.05
2,26.08.2022,6.52
3,27.08.2022,5.81
4,28.08.2022,5.84
5,29.08.2022,5.52
6,30.08.2022,5.78
7,31.08.2022,5.95
8,01.09.2022,6.44
9,02.09.2022,4.72
10,03.09.2022,3.76
11,04.09.2022,3.74
12,05.09.2022,7.38
13,06.09.2022,4.02
14,07.09.2022,3.99
15,08.09.2022,4.01
16,09.09.2022,4.58
17,10.09.2022,4.22
18,11.09.2022,4.69
19,12.09.2022,4.94
20,13.09.2022,4.65
21,14.09.2022,4.61
22,15.09.2022,3.19
23,16.09.2022,3.45
24,17.09.2022,2.72
25,18.09.2022,2.49
26,19.09.2022,2.93
27,20.09.2022,2.2
28,21.09.2022,2.68
29,22.09.2022,2.52
