,Date,Price (Euros)
0,24.08.2022,1.68
1,25.08.2022,1.83
2,26.08.2022,1.36
3,27.08.2022,1.45
4,28.08.2022,2.1
5,29.08.2022,1.39
6,30.08.2022,1.77
7,31.08.2022,1.71
8,01.09.2022,1.66
9,02.09.2022,2.69
10,03.09.2022,1.58
11,04.09.2022,1.45
12,05.09.2022,2.69
13,06.09.2022,1.59
14,07.09.2022,2.18
15,08.09.2022,2.1
16,09.09.2022,1.46
17,10.09.2022,1.0
18,11.09.2022,2.71
19,12.09.2022,1.98
20,13.09.2022,1.98
21,14.09.2022,2.44
22,15.09.2022,1.53
23,16.09.2022,1.36
24,17.09.2022,2.82
25,18.09.2022,1.49
26,19.09.2022,2.02
27,20.09.2022,1.42
28,21.09.2022,1.82
29,22.09.2022,1.83
