,Date,Price (Euros)
0,02.09.2022,0.09
1,03.09.2022,0.14
2,04.09.2022,0.02
3,05.09.2022,0.14
4,06.09.2022,0.06
5,07.09.2022,0.04
6,08.09.2022,0.15
7,09.09.2022,0.07
8,10.09.2022,0.05
9,12.09.2022,0.06
10,13.09.2022,0.02
11,14.09.2022,0.13
12,15.09.2022,0.05
13,16.09.2022,0.2
14,17.09.2022,0.08
15,19.09.2022,0.05
16,20.09.2022,0.13
17,21.09.2022,0.17
18,22.09.2022,0.09
19,23.09.2022,0.02
20,25.09.2022,0.02
21,27.09.2022,0.02
22,28.09.2022,0.11
23,29.09.2022,0.41
24,30.09.2022,0.02
25,01.10.2022,0.39
26,02.10.2022,0.11
27,03.10.2022,0.1
28,04.10.2022,0.1
29,05.10.2022,0.05
