,Date,Price (Euros)
0,02.09.2022,0.14
1,03.09.2022,0.11
2,04.09.2022,0.2
3,05.09.2022,0.35
4,06.09.2022,0.1
5,07.09.2022,0.33
6,08.09.2022,0.17
7,09.09.2022,0.1
8,10.09.2022,0.19
9,11.09.2022,0.21
10,12.09.2022,0.28
11,13.09.2022,0.12
12,15.09.2022,0.5
13,16.09.2022,0.1
14,17.09.2022,0.1
15,19.09.2022,0.21
16,20.09.2022,0.09
17,21.09.2022,0.1
18,22.09.2022,0.13
19,24.09.2022,0.35
20,25.09.2022,0.02
21,26.09.2022,0.12
22,27.09.2022,0.13
23,29.09.2022,0.54
24,30.09.2022,0.04
25,01.10.2022,0.27
26,02.10.2022,0.1
27,03.10.2022,0.05
28,04.10.2022,0.32
29,05.10.2022,0.08
