,Date,Price (Euros)
0,05.09.2022,7.63
1,06.09.2022,6.6
2,07.09.2022,6.68
3,08.09.2022,5.33
4,09.09.2022,7.05
5,10.09.2022,8.29
6,12.09.2022,5.5
7,13.09.2022,6.23
8,14.09.2022,7.66
9,15.09.2022,5.99
10,16.09.2022,5.68
11,17.09.2022,8.25
12,18.09.2022,6.53
13,19.09.2022,6.44
14,20.09.2022,6.57
15,21.09.2022,7.3
16,22.09.2022,6.0
17,23.09.2022,6.21
18,24.09.2022,6.38
19,25.09.2022,7.05
20,26.09.2022,5.0
21,27.09.2022,6.95
22,28.09.2022,6.02
23,29.09.2022,8.12
24,30.09.2022,7.0
25,01.10.2022,6.41
26,02.10.2022,7.38
27,03.10.2022,6.31
28,04.10.2022,6.09
29,05.10.2022,5.95
