,Date,Price (Euros)
0,03.09.2022,0.21
1,04.09.2022,0.02
2,05.09.2022,0.04
3,06.09.2022,0.31
4,07.09.2022,0.11
5,08.09.2022,0.15
6,09.09.2022,0.03
7,10.09.2022,0.06
8,11.09.2022,0.15
9,12.09.2022,0.19
10,14.09.2022,0.1
11,15.09.2022,0.07
12,17.09.2022,0.19
13,18.09.2022,0.17
14,19.09.2022,0.2
15,20.09.2022,0.02
16,21.09.2022,0.31
17,22.09.2022,0.1
18,23.09.2022,0.23
19,24.09.2022,0.16
20,25.09.2022,0.12
21,26.09.2022,0.34
22,27.09.2022,0.02
23,28.09.2022,0.17
24,29.09.2022,0.16
25,30.09.2022,0.02
26,01.10.2022,0.28
27,02.10.2022,0.39
28,04.10.2022,0.35
29,05.10.2022,0.34
