,Date,Price (Euros)
0,06.09.2022,0.33
1,07.09.2022,0.43
2,08.09.2022,0.25
3,09.09.2022,0.13
4,10.09.2022,0.09
5,11.09.2022,0.21
6,12.09.2022,0.26
7,13.09.2022,0.31
8,14.09.2022,0.02
9,15.09.2022,0.47
10,16.09.2022,0.22
11,17.09.2022,0.23
12,18.09.2022,0.11
13,19.09.2022,0.22
14,20.09.2022,0.29
15,21.09.2022,0.26
16,22.09.2022,0.24
17,23.09.2022,0.59
18,24.09.2022,0.31
19,25.09.2022,0.21
20,26.09.2022,0.21
21,27.09.2022,0.39
22,28.09.2022,0.31
23,29.09.2022,0.22
24,30.09.2022,0.5
25,01.10.2022,0.15
26,02.10.2022,0.3
27,03.10.2022,0.37
28,04.10.2022,0.17
29,05.10.2022,0.33
