,Date,Price (Euros)
0,17.08.2022,0.2
1,18.08.2022,0.39
2,19.08.2022,0.75
3,23.08.2022,0.44
4,24.08.2022,0.19
5,25.08.2022,0.29
6,26.08.2022,0.2
7,27.08.2022,0.17
8,29.08.2022,0.19
9,31.08.2022,0.43
10,01.09.2022,0.31
11,02.09.2022,0.36
12,03.09.2022,0.15
13,04.09.2022,0.27
14,05.09.2022,0.32
15,06.09.2022,0.14
16,07.09.2022,0.49
17,08.09.2022,0.33
18,09.09.2022,0.12
19,10.09.2022,0.54
20,11.09.2022,0.23
21,12.09.2022,0.25
22,13.09.2022,0.41
23,15.09.2022,0.2
24,16.09.2022,0.31
25,17.09.2022,1.0
26,18.09.2022,0.38
27,19.09.2022,0.21
28,20.09.2022,0.63
29,21.09.2022,0.2
30,22.09.2022,0.62
31,23.09.2022,0.29
32,24.09.2022,0.16
33,26.09.2022,0.22
34,27.09.2022,0.05
35,28.09.2022,0.23
36,29.09.2022,0.19
37,30.09.2022,0.75
38,01.10.2022,0.81
39,02.10.2022,0.23
40,03.10.2022,0.21
41,04.10.2022,0.45
42,05.10.2022,0.15
