,Date,Price (Euros)
0,03.07.2022,0.07
1,05.07.2022,0.07
2,06.07.2022,0.27
3,08.07.2022,0.02
4,09.07.2022,0.1
5,11.07.2022,0.06
6,12.07.2022,0.29
7,16.07.2022,0.02
8,17.07.2022,0.02
9,23.07.2022,0.25
10,27.07.2022,0.1
11,29.07.2022,0.32
12,30.07.2022,0.05
13,03.08.2022,0.02
14,07.08.2022,0.04
15,08.08.2022,0.16
16,11.08.2022,0.05
17,13.08.2022,0.03
18,14.08.2022,0.05
19,17.08.2022,0.02
20,18.08.2022,0.16
21,20.08.2022,0.09
22,21.08.2022,0.2
23,23.08.2022,0.29
24,30.08.2022,0.1
25,05.09.2022,0.2
26,07.09.2022,0.05
27,15.09.2022,0.02
28,19.09.2022,0.02
29,21.09.2022,0.13
30,23.09.2022,0.06
31,24.09.2022,0.15
32,25.09.2022,0.02
33,05.10.2022,0.09
