,Date,Price (Euros)
0,03.08.2022,0.81
1,04.08.2022,1.49
2,06.08.2022,0.55
3,07.08.2022,0.47
4,09.08.2022,1.54
5,11.08.2022,0.49
6,13.08.2022,0.46
7,16.08.2022,0.98
8,17.08.2022,0.45
9,18.08.2022,2.0
10,19.08.2022,0.49
11,22.08.2022,0.66
12,24.08.2022,0.45
13,26.08.2022,0.6
14,27.08.2022,1.65
15,28.08.2022,1.49
16,29.08.2022,0.54
17,30.08.2022,0.5
18,01.09.2022,1.0
19,02.09.2022,0.74
20,04.09.2022,0.39
21,05.09.2022,1.95
22,06.09.2022,0.58
23,10.09.2022,0.65
24,12.09.2022,0.46
25,13.09.2022,0.4
26,16.09.2022,0.49
27,18.09.2022,0.74
28,21.09.2022,1.0
29,22.09.2022,0.68
