,Date,Price (Euros)
0,10.08.2022,1.1
1,12.08.2022,1.04
2,13.08.2022,1.41
3,14.08.2022,2.95
4,15.08.2022,1.19
5,17.08.2022,1.0
6,19.08.2022,1.7
7,20.08.2022,1.71
8,22.08.2022,0.59
9,23.08.2022,0.95
10,24.08.2022,1.75
11,25.08.2022,0.49
12,26.08.2022,2.39
13,27.08.2022,0.85
14,28.08.2022,0.67
15,29.08.2022,0.75
16,01.09.2022,1.21
17,03.09.2022,0.88
18,04.09.2022,1.0
19,06.09.2022,1.15
20,08.09.2022,1.29
21,10.09.2022,1.3
22,11.09.2022,1.25
23,13.09.2022,1.6
24,14.09.2022,0.8
25,16.09.2022,0.95
26,19.09.2022,1.0
27,20.09.2022,1.63
28,21.09.2022,1.75
29,22.09.2022,2.0
