,Date,Price (Euros)
0,31.07.2022,0.15
1,01.08.2022,0.35
2,02.08.2022,0.17
3,06.08.2022,0.18
4,08.08.2022,0.35
5,09.08.2022,0.1
6,11.08.2022,0.04
7,12.08.2022,0.19
8,13.08.2022,0.14
9,14.08.2022,0.06
10,16.08.2022,0.05
11,17.08.2022,0.3
12,19.08.2022,0.1
13,20.08.2022,0.06
14,23.08.2022,0.29
15,24.08.2022,0.52
16,25.08.2022,0.2
17,27.08.2022,0.05
18,28.08.2022,0.15
19,29.08.2022,0.43
20,03.09.2022,0.13
21,04.09.2022,0.29
22,06.09.2022,0.02
23,07.09.2022,0.03
24,12.09.2022,0.3
25,13.09.2022,0.23
26,15.09.2022,0.19
27,19.09.2022,0.75
28,20.09.2022,0.02
29,21.09.2022,0.17
