,Date,Price (Euros)
0,23.08.2022,4.45
1,24.08.2022,2.46
2,25.08.2022,2.62
3,26.08.2022,1.99
4,27.08.2022,2.0
5,29.08.2022,3.05
6,30.08.2022,2.5
7,31.08.2022,4.99
8,01.09.2022,1.0
9,02.09.2022,1.75
10,03.09.2022,2.08
11,04.09.2022,5.69
12,05.09.2022,3.5
13,06.09.2022,1.93
14,07.09.2022,3.48
15,08.09.2022,3.19
16,09.09.2022,2.18
17,10.09.2022,1.49
18,11.09.2022,1.5
19,12.09.2022,1.6
20,13.09.2022,3.15
21,15.09.2022,2.59
22,16.09.2022,2.95
23,17.09.2022,1.99
24,18.09.2022,2.49
25,19.09.2022,2.63
26,20.09.2022,1.85
27,21.09.2022,2.74
28,22.09.2022,1.8
29,23.09.2022,2.44
