,Date,Price (Euros)
0,13.08.2022,3.49
1,14.08.2022,3.85
2,15.08.2022,3.33
3,16.08.2022,4.49
4,18.08.2022,6.0
5,21.08.2022,2.6
6,22.08.2022,3.25
7,23.08.2022,4.5
8,24.08.2022,3.5
9,26.08.2022,2.7
10,27.08.2022,4.1
11,29.08.2022,2.88
12,30.08.2022,4.3
13,31.08.2022,3.72
14,01.09.2022,3.63
15,02.09.2022,4.64
16,03.09.2022,2.25
17,05.09.2022,3.9
18,06.09.2022,2.49
19,07.09.2022,4.22
20,08.09.2022,5.06
21,10.09.2022,3.0
22,11.09.2022,3.87
23,12.09.2022,2.99
24,13.09.2022,5.7
25,14.09.2022,14.5
26,16.09.2022,2.5
27,18.09.2022,2.99
28,20.09.2022,2.7
29,21.09.2022,3.39
