,Date,Price (Euros)
0,23.08.2022,22.98
1,24.08.2022,24.28
2,25.08.2022,26.51
3,26.08.2022,25.95
4,27.08.2022,23.75
5,28.08.2022,31.18
6,29.08.2022,25.23
7,30.08.2022,26.63
8,31.08.2022,28.45
9,01.09.2022,32.59
10,02.09.2022,27.34
11,03.09.2022,25.84
12,04.09.2022,27.0
13,05.09.2022,30.53
14,06.09.2022,27.26
15,07.09.2022,27.36
16,08.09.2022,28.16
17,09.09.2022,27.75
18,10.09.2022,28.31
19,11.09.2022,27.67
20,12.09.2022,28.71
21,13.09.2022,28.73
22,14.09.2022,29.58
23,15.09.2022,28.33
24,16.09.2022,33.44
25,17.09.2022,28.28
26,18.09.2022,29.56
27,19.09.2022,29.64
28,20.09.2022,29.27
29,21.09.2022,26.76
