,Date,Price (Euros)
0,18.08.2022,0.02
1,19.08.2022,0.02
2,20.08.2022,0.02
3,21.08.2022,0.02
4,22.08.2022,0.03
5,23.08.2022,0.07
6,24.08.2022,0.12
7,25.08.2022,0.09
8,26.08.2022,0.07
9,29.08.2022,0.02
10,30.08.2022,0.14
11,01.09.2022,0.35
12,02.09.2022,0.05
13,03.09.2022,0.2
14,04.09.2022,0.07
15,05.09.2022,0.03
16,06.09.2022,0.07
17,08.09.2022,0.03
18,09.09.2022,0.02
19,10.09.2022,0.07
20,11.09.2022,0.03
21,12.09.2022,0.02
22,13.09.2022,0.02
23,14.09.2022,0.02
24,15.09.2022,0.03
25,16.09.2022,0.02
26,17.09.2022,0.09
27,18.09.2022,0.02
28,20.09.2022,0.1
29,21.09.2022,0.1
