,Date,Price (Euros)
0,19.08.2022,0.06
1,20.08.2022,0.1
2,21.08.2022,0.02
3,23.08.2022,0.05
4,24.08.2022,0.06
5,26.08.2022,0.07
6,29.08.2022,0.02
7,30.08.2022,0.02
8,31.08.2022,0.27
9,01.09.2022,0.02
10,02.09.2022,0.02
11,03.09.2022,0.08
12,04.09.2022,0.1
13,05.09.2022,0.08
14,06.09.2022,0.06
15,07.09.2022,0.13
16,08.09.2022,0.04
17,09.09.2022,0.04
18,10.09.2022,0.05
19,11.09.2022,0.15
20,12.09.2022,0.11
21,13.09.2022,0.06
22,14.09.2022,0.04
23,15.09.2022,0.07
24,16.09.2022,0.02
25,17.09.2022,0.04
26,18.09.2022,0.05
27,19.09.2022,0.02
28,20.09.2022,0.08
29,21.09.2022,0.06
30,22.09.2022,0.02
31,23.09.2022,0.05
32,24.09.2022,0.02
33,25.09.2022,0.1
34,26.09.2022,0.07
35,27.09.2022,0.03
36,28.09.2022,0.06
37,29.09.2022,0.08
38,30.09.2022,0.05
39,01.10.2022,0.09
40,04.10.2022,0.06
41,05.10.2022,0.16
