,Date,Price (Euros)
0,23.08.2022,0.34
1,24.08.2022,0.1
2,25.08.2022,0.18
3,26.08.2022,0.21
4,27.08.2022,0.23
5,28.08.2022,0.2
6,29.08.2022,0.16
7,30.08.2022,0.21
8,31.08.2022,0.86
9,01.09.2022,0.19
10,02.09.2022,0.22
11,03.09.2022,0.41
12,04.09.2022,0.32
13,05.09.2022,0.32
14,06.09.2022,0.31
15,07.09.2022,0.49
16,08.09.2022,0.21
17,09.09.2022,0.21
18,10.09.2022,0.17
19,11.09.2022,0.21
20,12.09.2022,0.15
21,13.09.2022,0.09
22,14.09.2022,0.33
23,15.09.2022,0.23
24,16.09.2022,0.21
25,17.09.2022,0.34
26,18.09.2022,0.35
27,19.09.2022,0.35
28,20.09.2022,0.24
29,21.09.2022,0.32
30,22.09.2022,0.32
31,23.09.2022,0.15
32,24.09.2022,0.38
33,25.09.2022,0.2
34,26.09.2022,0.33
35,27.09.2022,0.31
36,28.09.2022,0.2
37,29.09.2022,0.27
38,30.09.2022,0.36
39,01.10.2022,0.31
40,02.10.2022,0.24
41,03.10.2022,0.28
42,04.10.2022,0.46
43,05.10.2022,0.41
