,Date,Price (Euros)
0,23.08.2022,0.33
1,24.08.2022,0.58
2,25.08.2022,0.62
3,26.08.2022,0.57
4,27.08.2022,0.63
5,28.08.2022,0.51
6,29.08.2022,0.52
7,30.08.2022,0.66
8,31.08.2022,0.48
9,01.09.2022,0.55
10,02.09.2022,0.48
11,03.09.2022,0.55
12,04.09.2022,0.52
13,05.09.2022,0.56
14,06.09.2022,0.58
15,07.09.2022,0.61
16,08.09.2022,0.69
17,09.09.2022,0.61
18,10.09.2022,0.67
19,11.09.2022,0.35
20,12.09.2022,0.57
21,13.09.2022,0.4
22,14.09.2022,0.29
23,15.09.2022,0.42
24,16.09.2022,0.32
25,17.09.2022,0.63
26,18.09.2022,0.65
27,19.09.2022,0.43
28,20.09.2022,0.52
29,21.09.2022,0.47
30,22.09.2022,0.53
31,23.09.2022,0.56
32,24.09.2022,0.59
33,25.09.2022,0.48
34,26.09.2022,0.83
35,27.09.2022,0.44
36,28.09.2022,0.39
37,29.09.2022,0.57
38,30.09.2022,0.52
39,01.10.2022,0.68
40,02.10.2022,0.46
41,03.10.2022,0.36
42,04.10.2022,0.49
43,05.10.2022,0.36
