,Date,Price (Euros)
0,23.08.2022,0.46
1,24.08.2022,0.56
2,25.08.2022,0.41
3,26.08.2022,0.62
4,27.08.2022,0.6
5,28.08.2022,0.68
6,29.08.2022,0.39
7,30.08.2022,0.47
8,31.08.2022,0.48
9,01.09.2022,0.45
10,02.09.2022,0.49
11,03.09.2022,0.55
12,04.09.2022,0.55
13,05.09.2022,0.54
14,06.09.2022,0.48
15,07.09.2022,0.59
16,08.09.2022,0.38
17,09.09.2022,0.88
18,10.09.2022,0.53
19,11.09.2022,0.62
20,12.09.2022,0.57
21,13.09.2022,0.69
22,14.09.2022,0.76
23,15.09.2022,0.6
24,16.09.2022,0.62
25,17.09.2022,0.59
26,18.09.2022,0.47
27,19.09.2022,0.57
28,20.09.2022,0.64
29,21.09.2022,0.55
30,22.09.2022,0.6
31,23.09.2022,0.72
32,24.09.2022,0.52
33,25.09.2022,0.53
34,26.09.2022,0.69
35,27.09.2022,0.54
36,28.09.2022,0.64
37,29.09.2022,0.75
38,30.09.2022,0.56
39,01.10.2022,0.56
40,02.10.2022,0.58
41,03.10.2022,0.75
42,04.10.2022,0.61
43,05.10.2022,0.54
