,Date,Price (Euros)
0,19.08.2022,0.47
1,20.08.2022,0.1
2,22.08.2022,0.51
3,23.08.2022,0.43
4,24.08.2022,1.52
5,25.08.2022,1.49
6,26.08.2022,1.12
7,27.08.2022,0.18
8,28.08.2022,0.05
9,29.08.2022,1.17
10,30.08.2022,1.15
11,31.08.2022,0.79
12,01.09.2022,0.43
13,02.09.2022,2.24
14,03.09.2022,0.69
15,04.09.2022,0.35
16,05.09.2022,0.84
17,06.09.2022,0.59
18,07.09.2022,0.09
19,08.09.2022,0.3
20,09.09.2022,0.5
21,10.09.2022,1.66
22,11.09.2022,0.15
23,12.09.2022,0.39
24,13.09.2022,0.65
25,14.09.2022,0.93
26,16.09.2022,1.24
27,18.09.2022,0.11
28,20.09.2022,0.83
29,21.09.2022,0.78
30,22.09.2022,0.61
31,23.09.2022,0.46
32,24.09.2022,0.29
33,25.09.2022,0.45
34,26.09.2022,0.97
35,27.09.2022,0.5
36,28.09.2022,0.38
37,29.09.2022,0.32
38,30.09.2022,0.98
39,01.10.2022,0.51
40,02.10.2022,0.28
41,03.10.2022,0.34
42,04.10.2022,1.74
43,05.10.2022,0.31
