,Date,Price (Euros)
0,08.04.2022,0.39
1,09.04.2022,0.37
2,13.04.2022,1.9
3,22.04.2022,0.9
4,23.04.2022,0.54
5,01.05.2022,1.0
6,02.05.2022,1.0
7,05.05.2022,0.48
8,18.05.2022,0.9
9,21.05.2022,0.48
10,22.05.2022,0.25
11,24.05.2022,0.47
12,27.05.2022,0.47
13,03.06.2022,0.37
14,05.06.2022,1.5
15,15.06.2022,0.65
16,19.06.2022,0.42
17,21.06.2022,0.39
18,25.06.2022,0.9
19,05.07.2022,0.45
20,17.07.2022,0.45
21,18.07.2022,0.44
22,20.07.2022,0.48
23,08.08.2022,0.29
24,15.08.2022,0.8
25,16.08.2022,0.9
26,25.08.2022,0.19
27,27.08.2022,2.85
28,10.09.2022,0.85
29,12.09.2022,0.24
