,Date,Price (Euros)
0,22.03.2022,0.19
1,27.03.2022,0.21
2,28.03.2022,0.95
3,30.03.2022,0.69
4,31.03.2022,1.0
5,01.04.2022,0.7
6,02.04.2022,0.7
7,03.04.2022,0.6
8,05.04.2022,0.37
9,07.04.2022,0.32
10,11.04.2022,0.32
11,12.04.2022,0.39
12,13.04.2022,0.28
13,14.04.2022,0.23
14,30.04.2022,0.7
15,09.05.2022,0.4
16,13.05.2022,0.43
17,17.05.2022,0.6
18,31.05.2022,0.7
19,03.06.2022,0.39
20,06.06.2022,0.7
21,13.06.2022,0.2
22,22.06.2022,0.75
23,10.07.2022,0.23
24,16.07.2022,0.19
25,02.08.2022,1.4
26,04.08.2022,0.25
27,15.08.2022,1.5
28,19.08.2022,1.49
29,24.08.2022,0.3
30,27.09.2022,0.39
