,Date,Price (Euros)
0,14.08.2022,0.3
1,15.08.2022,0.24
2,17.08.2022,0.02
3,18.08.2022,0.24
4,19.08.2022,0.69
5,20.08.2022,0.15
6,22.08.2022,0.19
7,23.08.2022,0.24
8,24.08.2022,0.1
9,25.08.2022,0.51
10,26.08.2022,0.13
11,27.08.2022,0.18
12,29.08.2022,0.09
13,30.08.2022,0.1
14,31.08.2022,0.2
15,01.09.2022,0.24
16,02.09.2022,0.14
17,05.09.2022,0.09
18,06.09.2022,0.43
19,07.09.2022,0.24
20,08.09.2022,0.02
21,09.09.2022,0.46
22,14.09.2022,0.33
23,15.09.2022,0.5
24,16.09.2022,0.14
25,17.09.2022,0.22
26,18.09.2022,0.61
27,19.09.2022,0.11
28,20.09.2022,0.16
29,21.09.2022,0.2
30,23.09.2022,0.1
31,24.09.2022,0.02
32,25.09.2022,0.25
33,26.09.2022,0.07
34,27.09.2022,0.29
35,28.09.2022,0.1
36,29.09.2022,0.15
37,30.09.2022,0.08
38,01.10.2022,0.46
39,02.10.2022,0.42
40,03.10.2022,0.18
41,04.10.2022,0.08
