,Date,Price (Euros)
0,13.03.2022,0.45
1,14.03.2022,0.21
2,15.03.2022,0.23
3,17.03.2022,0.34
4,19.03.2022,0.3
5,20.03.2022,0.24
6,21.03.2022,0.25
7,25.03.2022,0.5
8,27.03.2022,0.25
9,31.03.2022,0.99
10,01.04.2022,0.42
11,05.04.2022,0.36
12,07.04.2022,0.34
13,11.04.2022,0.34
14,14.04.2022,0.23
15,01.05.2022,0.4
16,11.05.2022,0.4
17,12.05.2022,0.2
18,13.05.2022,0.33
19,22.05.2022,0.18
20,31.05.2022,0.4
21,03.06.2022,0.37
22,06.06.2022,0.75
23,13.06.2022,0.2
24,15.06.2022,0.17
25,22.06.2022,0.75
26,02.08.2022,1.0
27,04.08.2022,0.25
28,08.08.2022,0.75
29,24.08.2022,0.95
