,Date,Price (Euros)
0,13.06.2022,0.2
1,19.06.2022,0.04
2,20.06.2022,0.02
3,22.06.2022,0.24
4,25.06.2022,0.3
5,28.06.2022,0.02
6,30.06.2022,0.25
7,01.07.2022,0.09
8,04.07.2022,0.12
9,06.07.2022,0.15
10,08.07.2022,0.02
11,09.07.2022,0.09
12,11.07.2022,0.05
13,12.07.2022,0.02
14,17.07.2022,0.02
15,26.07.2022,0.35
16,27.07.2022,0.19
17,28.07.2022,0.25
18,29.07.2022,0.02
19,02.08.2022,0.05
20,03.08.2022,0.02
21,06.08.2022,0.02
22,09.08.2022,0.02
23,12.08.2022,0.02
24,13.08.2022,0.02
25,23.08.2022,0.18
26,27.08.2022,0.04
27,28.08.2022,0.03
28,31.08.2022,0.05
29,21.09.2022,0.22
30,24.09.2022,0.06
31,26.09.2022,0.03
32,02.10.2022,0.05
33,05.10.2022,0.02
