,Date,Price (Euros)
0,03.06.2022,0.02
1,08.06.2022,0.02
2,10.06.2022,0.02
3,13.06.2022,0.08
4,14.06.2022,0.04
5,16.06.2022,0.15
6,19.06.2022,0.03
7,30.06.2022,0.25
8,05.07.2022,0.15
9,06.07.2022,0.13
10,08.07.2022,0.02
11,09.07.2022,0.08
12,14.07.2022,0.14
13,17.07.2022,0.15
14,24.07.2022,0.05
15,01.08.2022,0.02
16,04.08.2022,0.19
17,06.08.2022,0.02
18,07.08.2022,0.05
19,09.08.2022,0.1
20,10.08.2022,0.02
21,12.08.2022,0.02
22,15.08.2022,0.03
23,23.08.2022,0.02
24,26.08.2022,0.09
25,08.09.2022,0.02
26,09.09.2022,0.02
27,13.09.2022,0.1
28,15.09.2022,0.02
29,18.09.2022,0.09
30,25.09.2022,0.09
31,01.10.2022,0.06
32,04.10.2022,0.09
