,Date,Price (Euros)
0,13.08.2022,0.35
1,14.08.2022,0.13
2,15.08.2022,0.4
3,16.08.2022,0.48
4,17.08.2022,0.37
5,18.08.2022,0.49
6,19.08.2022,0.18
7,21.08.2022,0.24
8,22.08.2022,0.49
9,23.08.2022,0.56
10,24.08.2022,0.4
11,28.08.2022,0.62
12,29.08.2022,0.8
13,30.08.2022,0.71
14,31.08.2022,0.79
15,01.09.2022,0.29
16,02.09.2022,0.52
17,03.09.2022,0.99
18,04.09.2022,0.49
19,06.09.2022,0.32
20,09.09.2022,0.98
21,10.09.2022,0.9
22,11.09.2022,0.65
23,12.09.2022,0.27
24,13.09.2022,0.43
25,14.09.2022,1.5
26,16.09.2022,0.38
27,17.09.2022,0.28
28,20.09.2022,0.15
29,21.09.2022,0.65
