,Date,Price (Euros)
0,14.05.2022,0.02
1,16.05.2022,0.02
2,17.05.2022,0.02
3,21.05.2022,0.02
4,22.05.2022,0.02
5,23.05.2022,0.02
6,26.05.2022,0.09
7,28.05.2022,0.03
8,30.05.2022,0.02
9,31.05.2022,0.02
10,02.06.2022,0.02
11,03.06.2022,0.02
12,06.06.2022,0.1
13,12.06.2022,0.02
14,16.06.2022,0.02
15,01.07.2022,0.02
16,02.07.2022,0.05
17,07.07.2022,0.02
18,08.07.2022,0.02
19,10.07.2022,0.02
20,15.07.2022,0.03
21,16.07.2022,0.03
22,25.07.2022,0.02
23,29.07.2022,0.05
24,03.08.2022,0.05
25,23.08.2022,0.02
26,29.08.2022,0.09
27,01.09.2022,0.15
28,06.09.2022,0.02
29,13.09.2022,0.03
