,Date,Price (Euros)
0,05.08.2022,0.11
1,07.08.2022,0.21
2,08.08.2022,0.25
3,09.08.2022,0.35
4,10.08.2022,0.55
5,11.08.2022,0.12
6,14.08.2022,0.02
7,16.08.2022,0.05
8,17.08.2022,0.1
9,18.08.2022,0.11
10,19.08.2022,0.05
11,20.08.2022,0.05
12,23.08.2022,0.1
13,24.08.2022,0.39
14,25.08.2022,0.22
15,26.08.2022,0.18
16,30.08.2022,0.17
17,01.09.2022,0.1
18,03.09.2022,0.09
19,04.09.2022,0.05
20,05.09.2022,0.25
21,06.09.2022,0.13
22,08.09.2022,0.08
23,12.09.2022,0.09
24,13.09.2022,0.13
25,14.09.2022,0.14
26,16.09.2022,0.35
27,20.09.2022,0.17
28,21.09.2022,0.1
29,22.09.2022,0.08
