,Date,Price (Euros)
0,14.08.2022,0.5
1,15.08.2022,0.8
2,16.08.2022,0.76
3,18.08.2022,0.34
4,19.08.2022,0.87
5,21.08.2022,0.3
6,22.08.2022,0.25
7,23.08.2022,0.22
8,24.08.2022,0.29
9,25.08.2022,0.3
10,26.08.2022,0.93
11,27.08.2022,1.19
12,28.08.2022,0.35
13,29.08.2022,0.88
14,30.08.2022,0.38
15,31.08.2022,0.21
16,01.09.2022,1.0
17,03.09.2022,0.69
18,04.09.2022,0.9
19,05.09.2022,0.26
20,06.09.2022,0.28
21,07.09.2022,0.2
22,12.09.2022,0.35
23,13.09.2022,0.24
24,14.09.2022,0.35
25,16.09.2022,0.78
26,18.09.2022,0.39
27,19.09.2022,1.33
28,20.09.2022,0.79
29,21.09.2022,0.39
