,Date,Price (Euros)
0,18.08.2022,0.06
1,19.08.2022,0.09
2,20.08.2022,0.2
3,22.08.2022,0.06
4,23.08.2022,0.15
5,24.08.2022,0.27
6,27.08.2022,0.45
7,28.08.2022,0.09
8,29.08.2022,0.14
9,30.08.2022,0.44
10,31.08.2022,0.28
11,01.09.2022,0.15
12,02.09.2022,0.15
13,03.09.2022,0.2
14,04.09.2022,0.18
15,05.09.2022,0.49
16,07.09.2022,0.06
17,08.09.2022,0.05
18,10.09.2022,0.79
19,11.09.2022,0.1
20,12.09.2022,0.18
21,13.09.2022,0.05
22,14.09.2022,0.05
23,15.09.2022,0.64
24,16.09.2022,0.24
25,17.09.2022,0.11
26,18.09.2022,0.13
27,19.09.2022,0.1
28,20.09.2022,0.23
29,21.09.2022,0.24
30,23.09.2022,0.18
31,24.09.2022,0.29
32,25.09.2022,0.32
33,26.09.2022,0.16
34,27.09.2022,0.17
35,28.09.2022,0.12
36,29.09.2022,0.14
37,30.09.2022,0.04
38,01.10.2022,0.19
39,02.10.2022,0.4
40,03.10.2022,0.43
41,04.10.2022,0.12
42,05.10.2022,0.08
