,Date,Price (Euros)
0,21.08.2022,0.13
1,22.08.2022,0.31
2,23.08.2022,0.1
3,24.08.2022,0.18
4,25.08.2022,0.07
5,27.08.2022,0.3
6,28.08.2022,0.29
7,29.08.2022,0.17
8,30.08.2022,0.25
9,31.08.2022,0.22
10,01.09.2022,0.19
11,02.09.2022,0.1
12,03.09.2022,0.09
13,04.09.2022,0.12
14,05.09.2022,0.04
15,07.09.2022,0.02
16,08.09.2022,0.22
17,09.09.2022,0.08
18,10.09.2022,0.55
19,11.09.2022,0.14
20,12.09.2022,0.12
21,13.09.2022,0.14
22,14.09.2022,0.33
23,15.09.2022,0.36
24,16.09.2022,0.18
25,17.09.2022,0.25
26,18.09.2022,0.31
27,19.09.2022,0.11
28,20.09.2022,0.22
29,21.09.2022,0.26
30,22.09.2022,0.22
31,23.09.2022,0.16
32,24.09.2022,0.27
33,25.09.2022,0.31
34,26.09.2022,0.17
35,27.09.2022,0.23
36,28.09.2022,0.18
37,29.09.2022,0.14
38,30.09.2022,0.2
39,01.10.2022,0.31
40,02.10.2022,0.57
41,03.10.2022,0.3
42,04.10.2022,0.46
43,05.10.2022,0.12
