,Date,Price (Euros)
0,05.08.2022,0.49
1,06.08.2022,0.7
2,07.08.2022,0.22
3,08.08.2022,0.22
4,09.08.2022,0.25
5,11.08.2022,0.09
6,14.08.2022,0.14
7,16.08.2022,0.17
8,17.08.2022,0.38
9,18.08.2022,0.5
10,19.08.2022,0.29
11,20.08.2022,0.65
12,25.08.2022,0.14
13,29.08.2022,0.46
14,30.08.2022,0.49
15,31.08.2022,0.27
16,01.09.2022,0.29
17,02.09.2022,0.4
18,04.09.2022,0.4
19,05.09.2022,0.06
20,06.09.2022,0.1
21,10.09.2022,0.63
22,11.09.2022,0.28
23,12.09.2022,0.38
24,13.09.2022,0.13
25,16.09.2022,0.05
26,17.09.2022,0.26
27,18.09.2022,0.25
28,19.09.2022,0.1
29,20.09.2022,0.1
