,Date,Price (Euros)
0,17.05.2022,0.25
1,22.05.2022,0.38
2,25.05.2022,0.1
3,30.05.2022,0.1
4,31.05.2022,1.34
5,01.06.2022,0.12
6,08.06.2022,0.1
7,13.06.2022,0.19
8,15.06.2022,0.02
9,17.06.2022,0.02
10,22.06.2022,0.1
11,25.06.2022,0.35
12,27.06.2022,0.25
13,05.07.2022,0.38
14,08.07.2022,0.23
15,14.07.2022,0.5
16,19.07.2022,0.14
17,29.07.2022,0.33
18,31.07.2022,0.06
19,14.08.2022,0.18
20,16.08.2022,0.18
21,18.08.2022,0.18
22,24.08.2022,0.18
23,25.08.2022,0.46
24,29.08.2022,0.15
25,03.09.2022,0.4
26,06.09.2022,0.44
27,07.09.2022,0.1
28,19.09.2022,0.25
29,22.09.2022,0.18
