,Date,Price (Euros)
0,17.06.2022,0.83
1,18.06.2022,1.5
2,25.06.2022,0.88
3,30.06.2022,0.53
4,04.07.2022,1.0
5,05.07.2022,0.73
6,08.07.2022,0.7
7,13.07.2022,0.79
8,14.07.2022,0.6
9,17.07.2022,2.5
10,26.07.2022,1.5
11,31.07.2022,0.99
12,01.08.2022,1.5
13,02.08.2022,0.44
14,08.08.2022,0.99
15,10.08.2022,0.78
16,16.08.2022,0.84
17,17.08.2022,0.65
18,20.08.2022,0.78
19,22.08.2022,0.45
20,23.08.2022,0.87
21,24.08.2022,0.48
22,29.08.2022,0.8
23,07.09.2022,0.86
24,12.09.2022,0.59
25,15.09.2022,0.6
26,16.09.2022,0.95
27,17.09.2022,0.94
28,19.09.2022,0.89
29,21.09.2022,0.69
30,23.09.2022,0.97
31,27.09.2022,0.47
32,28.09.2022,0.45
33,01.10.2022,0.78
34,02.10.2022,1.5
35,05.10.2022,0.4
