,Date,Price (Euros)
0,21.08.2022,5.17
1,22.08.2022,5.35
2,23.08.2022,5.68
3,24.08.2022,6.09
4,25.08.2022,4.33
5,26.08.2022,5.78
6,27.08.2022,6.71
7,28.08.2022,5.67
8,29.08.2022,6.29
9,30.08.2022,5.98
10,31.08.2022,6.35
11,01.09.2022,6.85
12,02.09.2022,6.89
13,03.09.2022,6.48
14,05.09.2022,14.99
15,06.09.2022,3.5
16,07.09.2022,6.97
17,08.09.2022,6.43
18,09.09.2022,5.79
19,11.09.2022,7.3
20,12.09.2022,9.33
21,13.09.2022,4.9
22,14.09.2022,8.63
23,15.09.2022,6.62
24,16.09.2022,9.48
25,17.09.2022,8.17
26,18.09.2022,14.93
27,19.09.2022,6.04
28,20.09.2022,3.45
29,21.09.2022,8.49
30,22.09.2022,5.57
31,23.09.2022,4.8
32,24.09.2022,5.57
33,26.09.2022,5.48
34,27.09.2022,5.95
35,28.09.2022,5.55
36,29.09.2022,6.44
37,30.09.2022,6.28
38,01.10.2022,5.94
39,02.10.2022,6.39
40,03.10.2022,8.63
41,04.10.2022,6.81
42,05.10.2022,6.72
