,Date,Price (Euros)
0,20.04.2022,0.04
1,21.04.2022,0.04
2,24.04.2022,0.02
3,25.04.2022,0.2
4,06.05.2022,0.02
5,09.05.2022,0.02
6,11.05.2022,0.02
7,07.06.2022,0.05
8,20.06.2022,0.04
9,21.06.2022,0.15
10,22.06.2022,0.02
11,26.06.2022,0.1
12,27.06.2022,0.39
13,01.07.2022,0.27
14,06.07.2022,0.02
15,08.07.2022,0.02
16,14.07.2022,0.1
17,20.07.2022,0.12
18,08.08.2022,0.02
19,13.08.2022,0.04
20,15.08.2022,0.25
21,19.08.2022,0.1
22,20.08.2022,0.09
23,24.08.2022,0.02
24,29.08.2022,0.05
25,01.09.2022,0.02
26,03.09.2022,0.02
27,17.09.2022,0.12
28,19.09.2022,0.1
29,21.09.2022,0.02
30,25.09.2022,0.02
31,26.09.2022,0.08
32,02.10.2022,0.39
33,03.10.2022,0.02
