,Date,Price (Euros)
0,14.08.2022,0.39
1,17.08.2022,0.5
2,18.08.2022,0.25
3,19.08.2022,0.46
4,21.08.2022,0.59
5,23.08.2022,0.68
6,24.08.2022,0.27
7,25.08.2022,0.59
8,26.08.2022,0.35
9,29.08.2022,0.42
10,31.08.2022,0.49
11,01.09.2022,0.39
12,02.09.2022,0.28
13,03.09.2022,0.47
14,05.09.2022,0.27
15,06.09.2022,0.49
16,07.09.2022,0.25
17,08.09.2022,0.27
18,09.09.2022,0.4
19,10.09.2022,0.65
20,11.09.2022,1.0
21,12.09.2022,0.37
22,13.09.2022,0.39
23,14.09.2022,0.37
24,15.09.2022,0.28
25,17.09.2022,0.5
26,18.09.2022,0.59
27,19.09.2022,0.45
28,20.09.2022,0.49
29,21.09.2022,0.38
30,22.09.2022,0.31
31,23.09.2022,0.59
32,24.09.2022,0.42
33,25.09.2022,0.21
34,26.09.2022,0.55
35,27.09.2022,0.31
36,28.09.2022,0.23
37,29.09.2022,0.55
38,30.09.2022,0.37
39,01.10.2022,0.44
40,02.10.2022,0.28
41,03.10.2022,0.33
42,04.10.2022,0.88
43,05.10.2022,0.49
