,Date,Price (Euros)
0,09.06.2022,0.1
1,14.06.2022,0.06
2,20.06.2022,0.04
3,22.06.2022,0.02
4,30.06.2022,0.19
5,01.07.2022,0.02
6,06.07.2022,0.03
7,08.07.2022,0.02
8,11.07.2022,0.03
9,17.07.2022,0.14
10,18.07.2022,0.08
11,21.07.2022,0.1
12,27.07.2022,0.2
13,30.07.2022,0.16
14,31.07.2022,0.05
15,03.08.2022,0.09
16,04.08.2022,0.04
17,09.08.2022,0.02
18,11.08.2022,0.09
19,14.08.2022,0.14
20,23.08.2022,0.25
21,24.08.2022,0.29
22,26.08.2022,0.09
23,30.08.2022,0.06
24,01.09.2022,0.02
25,05.09.2022,0.02
26,06.09.2022,0.03
27,13.09.2022,0.02
28,17.09.2022,0.05
29,21.09.2022,0.05
30,26.09.2022,0.04
31,28.09.2022,0.1
32,29.09.2022,0.02
33,01.10.2022,0.04
34,02.10.2022,0.29
35,03.10.2022,0.16
